date,open,high,low,close,volume,target,sma_7,sma_30,volatility,momentum_3d
2025-08-21,114271.23,114821.76,112015.67,112500.0,10839.69235,1,115428.42142857143,116807.266,0.024556399716709067,-0.032066975802965025
2025-08-22,112500.0,117429.05,111684.79,116935.99,23128.09037,0,115370.41285714286,116746.59933333333,0.05106008888888897,0.03599667023823416
2025-08-23,116936.0,117030.0,114560.0,115438.05,11329.36197,0,115092.89714285715,116649.83466666666,0.021122665389614832,0.010210880708041659
2025-08-24,115438.06,115666.68,110680.0,113493.59,21175.98462,0,114534.12285714285,116512.47733333333,0.04319788464913559,0.008831911111111035
2025-08-25,113493.59,113667.28,109274.1,110111.98,25182.79379,1,113660.54142857144,116252.21033333334,0.03870861781709428,-0.05835679845016073
2025-08-26,110111.98,112371.0,108666.66,111763.22,18452.43877,0,113502.01,115997.13266666667,0.03364157106247655,-0.03183378444109197
2025-08-27,111763.22,112625.0,110345.42,111262.01,13392.60875,1,113072.12,115770.45566666666,0.020396513271539615,-0.01966260825831667
2025-08-28,111262.01,113485.9,110862.42,112566.9,11104.27744,0,113081.67714285714,115590.99366666665,0.023579297192276107,0.022294758481320454
2025-08-29,112566.9,112638.64,107463.9,108377.4,22580.31045,1,111859.02142857143,115275.56366666667,0.04597035185298703,-0.03029458170585997
2025-08-30,108377.4,108926.15,107350.1,108816.33,10708.39159,0,110913.06142857143,115043.972,0.014542238510980965,-0.021981267460474574
2025-08-31,108816.33,109480.02,108076.93,108246.35,9489.51596,1,110163.45571428571,114875.586,0.012894112492123296,-0.038382064354619216
2025-09-01,108246.36,109912.4,107255.0,109237.42,16053.60219,1,110038.51857142858,114765.28833333333,0.024549555292205615,0.007935418269860772
2025-09-02,109237.43,111771.52,108393.39,111240.01,18510.28756,1,109963.77428571429,114666.32866666667,0.030924656502812314,0.022273127571937
2025-09-03,111240.01,112575.27,110528.71,111705.71,11773.72084,0,110027.16,114554.68466666667,0.01839769701566907,0.03195821383353814
2025-09-04,111705.72,112180.0,109329.12,110730.87,12203.13536,0,109764.87,114441.38866666667,0.025521343043131584,0.013671597150500148
2025-09-05,110730.87,113384.62,110206.96,110659.99,21587.40888,0,110090.95428571428,114296.97933333334,0.028697146513885323,-0.0052141311386073586
2025-09-06,110660.0,111307.7,109977.0,110187.97,5000.29897,1,110286.90285714286,114054.178,0.012025121995300895,-0.013586950926680497
2025-09-07,110187.98,111600.0,110180.0,111137.34,5681.29944,1,110699.90142857144,113869.598,0.012887068081291626,0.003670792074513596
2025-09-08,111137.35,112924.37,110621.78,112065.23,11582.40211,0,111103.87428571428,113723.03066666666,0.02071841734574377,0.012698717937711601
2025-09-09,112065.23,113293.29,110766.66,111546.39,15379.28248,1,111147.64285714286,113464.77666666666,0.02254606535854154,0.012328206064600389
2025-09-10,111546.38,114313.13,110917.45,113960.0,17517.41823,1,111469.68428571429,113307.24333333333,0.030441866423634792,0.02539794456120692
2025-09-11,113960.0,115488.09,113430.0,115482.69,13676.73119,1,112148.5157142857,113152.197,0.018059757809757777,0.030495274939426054
2025-09-12,115482.69,116665.63,114740.99,116029.42,15324.10719,0,112915.57714285715,112909.62999999999,0.01666604752625696,0.040189825954923375
2025-09-13,116029.41,116298.78,115127.27,115918.29,8269.40394,0,113734.19428571429,112830.40333333334,0.01009666428537381,0.017184011934011867
2025-09-14,115918.29,116165.19,115135.0,115268.01,6707.60197,1,114324.29000000001,112761.26866666667,0.008887208394809847,-0.0018589799042610933
2025-09-15,115268.01,116757.99,114384.0,115349.71,13212.51149,1,114793.50142857143,112693.57033333335,0.020595393292553634,-0.005858083234407174
2025-09-16,115349.71,116964.27,114737.11,116788.96,10926.9094,0,115542.43999999999,112673.03533333333,0.019307894228776157,0.0075110666315041374
2025-09-17,116788.96,117286.73,114720.81,116447.59,16754.2454,1,115897.80999999998,112680.38666666667,0.02197056982098306,0.01023336830400745
2025-09-18,116447.6,117900.0,116092.76,117073.53,11657.23365,0,116125.07285714286,112820.40633333335,0.015519770265767651,0.014944294181580497
2025-09-19,117073.53,117459.99,115100.0,115632.38,8992.09065,1,116068.35285714285,112865.77766666668,0.020158186056233252,-0.009903162079703431
2025-09-20,115632.39,116121.81,115408.47,115685.63,4674.92752,0,116035.11571428571,112971.96533333333,0.006169032742469446,-0.006543372859841856
2025-09-21,115685.63,115819.06,115188.0,115232.29,4511.52219,0,116030.01285714286,112915.17533333335,0.00545495581430466,-0.01572721007045752
2025-09-22,115232.29,115379.25,111800.0,112650.99,20781.71356,0,115644.48142857142,112822.27333333333,0.031061172176652916,-0.02578334892008627
2025-09-23,112650.99,113290.5,111458.73,111998.8,12301.3203,1,114960.17285714287,112772.447,0.01626057613874502,-0.03186938602486755
2025-09-24,111998.8,113940.0,111042.66,113307.0,12369.25967,0,114511.51714285716,112878.94766666667,0.025869384314831913,-0.0167079036613782
2025-09-25,113307.01,113510.23,108631.51,108994.49,21231.14957,1,113357.36857142858,112786.65666666666,0.043057530156342505,-0.03245865837486206
2025-09-26,108994.49,110300.0,108620.07,109643.46,14243.01591,0,112501.80857142857,112732.705,0.015412980968120434,-0.021030046750500908
2025-09-27,109643.46,109743.91,109064.4,109635.85,5501.78643,1,111637.55428571429,112635.00333333334,0.006197451266131234,-0.03240002824185617
2025-09-28,109635.85,112350.0,109189.99,112163.95,7542.3316,1,111199.22,112761.22166666666,0.028822780139890324,0.029079084639966668
2025-09-29,112163.96,114400.0,111560.65,114311.96,15541.12005,0,111436.50142857143,112944.40933333334,0.025314280986513008,0.042578918979754965
2025-09-30,114311.97,114792.0,112656.27,114048.93,15044.15633,1,111729.37714285715,113137.82866666668,0.018683345234974044,0.04025216204371085
